method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.0184,5.441572244348214e-05,0.0097271196297182,0.6456448977229365,2.537446809938032e-05,0.0045358303751274,0.3010691602569076,-0.0002964004110618951,0.0217244935710577,-0.8284696553054326,-9.681531467188588e-05,20.435165349101776
CALG,0.0186,5.639297455123371e-05,0.0098862701871352,0.6332797744530547,2.629647589933587e-05,0.0046100434988506,0.2953032085821311,-0.00029210773885218755,0.0214634007459349,-1.1898619394552472,-9.252430885328676e-05,19.55857994548772
CALG,0.0188,5.840051546353309e-05,0.0100377142928199,0.6135796455484854,2.723260760079116e-05,0.0046806630451138,0.28611688760729037,-0.0002878823350213888,0.0211270591915252,-1.545539781667444,-8.830065788258123e-05,18.69138583505341
CALG,0.019,6.043647392432738e-05,0.0101798021174168,0.5871353387993288,2.818199062273874e-05,0.0047469196858539,0.2737857048555578,-0.00028373894308508785,0.0207170000557825,-1.8943471604128272,-8.415910633308155e-05,17.836756462789463
CALG,0.0192,6.249870044590378e-05,0.0103111425038574,0.5546434327618012,2.914362264259951e-05,0.0048081647138762,0.2586344802422064,-0.000279691957802794,0.0202349671247985,-2.235173571381737,-8.011404956355384e-05,16.997820585742442
CALG,0.0194,6.458482040808122e-05,0.0104306097918342,0.5168804497656646,3.0116396356812125e-05,0.0048638732251588,0.24102531207633163,-0.0002757553841687965,0.0196829092308876,-2.5669528954585896,-7.617949270800894e-05,16.17764752433888
CALG,0.0196,6.66922872369774e-05,0.0105373442131134,0.4746780766364696,3.109912427843448e-05,0.00491364430319,0.22134602229387382,-0.00027194279781318775,0.0190629731992858,-2.8886623109798597,-7.236901108684246e-05,15.379232830777696
CALG,0.0198,6.881843451818359e-05,0.0106307465664966,0.42889986125902363,3.20905630379828e-05,0.0049571985358623,0.1999992898867024,-0.00026826730672939447,0.0183774972184318,-3.199321342856078,-6.869571195225466e-05,14.60548455619061
CALG,0.02,7.096052605277958e-05,0.0107104679310459,0.38041974803262013,3.3089436725079746e-05,0.0049943732186702,0.1773926418210094,-0.0002647415142675996,0.017629004507378,-3.4979911238104493,-6.517219750847014e-05,13.859210264010793
CALG,0.0202,7.311580302123144e-05,0.0107763952027785,0.3301027315380563,3.409445888089696e-05,0.0050251156103604,0.15392943169408316,-0.0002613774833619964,0.0168201971475644,-3.7837739256900256,-6.181052917292318e-05,13.143104903231778
