method,time,ax_raw_m_s2,ux_m,vx_m_s,ax_m_s2,ay_raw_m_s2,uy_m,vy_m_s,ay_m_s2,az_raw_m_s2,uz_m,vz_m_s,az_m_s2
chrono,4.6850000000000005,0.0008129009008650588,-0.019356041244793953,-0.0048168935728089,-0.0003874903268356067,-3.482585289356273e-05,0.06854911673595379,0.0146404633688126,-0.00011973113571363363,0.0020196291924921175,4.7315602018113454e-06,-6.191102056311386e-07,-0.00012554681726480315
chrono,4.6855,0.004093077696616589,-0.019358448668310935,-0.0048148470339606,-0.0003503020365399452,0.001110701790157412,0.0685564372453136,0.0146410187197077,-0.00010177695809415013,0.0002990423237722353,4.731325407289473e-06,-4.695890437449898e-07,-0.00015914766985248465
chrono,4.686,0.004530950271774471,-0.019360854959090346,-0.0048125815588247,-0.0002175493335259883,0.001704364389499647,0.06856375818076457,0.0146418709019024,-6.957802904210461e-05,0.0005661351813297647,4.731232146562933e-06,-1.865214530800495e-07,-9.620914379188207e-05
chrono,4.6865,0.001629258930748,-0.01936326084255513,-0.0048117669293593,2.9008604662493765e-05,0.000493361164772353,0.06857107923955588,0.0146421175824848,1.7585642622139007e-06,0.00012912725973788236,4.7311711676513275e-06,-1.219578232110717e-07,3.6725337667291343e-06
chrono,4.687,0.0011292010128577648,-0.019365666443719398,-0.0048112023288529,0.00012683071768083523,0.00015867186686411764,0.06857840033801507,0.0146421969184182,4.559639050543054e-05,0.001393829263899647,4.731458646055697e-06,5.749568087387654e-07,7.134276621153544e-05
chrono,4.6875,0.0027380403419374117,-0.019368071360373773,-0.0048098333086819,0.00034414516577751527,0.0008546875907294118,0.06858572165014618,0.0146426242622136,0.00010335509653667301,-0.00012157934198294117,4.7317157296245705e-06,5.141671377472533e-07,8.94907042027862e-06
chrono,4.688,0.0011173845538191764,-0.019370475997681935,-0.004809274616405,0.0003359880291486946,0.0006238198466212941,0.0685930431182322,0.0146429361721369,0.0001062514631145812,-0.0002837822099142353,4.731901867640966e-06,3.722760327901353e-07,1.3344727796654516e-05
chrono,4.6885,-0.0020147349115947058,-0.01937288113867397,-0.0048102819838608,0.00023003663269783377,-0.0007884926598048235,0.06860036438919517,0.014642541925807,7.382707002912066e-05,-0.0013914293558261177,4.731740148318404e-06,-3.234386451229508e-07,0.00017457496388085538
chrono,4.689,0.00033523612044188237,-0.01937528619585671,-0.0048101143658006,0.00011975643036354971,9.628852310177537e-05,0.06860768568423017,0.0146425900700686,4.724639461112925e-05,-0.0008619103976297647,4.731362951396435e-06,-7.543938439378381e-07,0.0001800627374284967
chrono,4.6895,-0.001814997451318706,-0.019377691706788935,-0.0048110218645262,0.00010098705527658271,-0.0008239756326065883,0.06861500677327129,0.0146421780822523,5.939986501905914e-05,0.0012453604857430589,4.731297094595902e-06,-1.3171360106629178e-07,0.00017872642910201465
