method,time,ux_m,vx_m_s,ax_raw_m_s2,ax_m_s2,uy_m,vy_m_s,ay_raw_m_s2,ay_m_s2,uz_m,vz_m_s,az_raw_m_s2,az_m_s2
calg,0.0208,7.963352274337199e-05,0.0108933989336118,0.129788001932709,0.1763086573849281,3.71337202166519e-05,0.0050796750000317,0.0605211284343552,0.08221407560384338,-0.000252367698751893,0.0140614793058566,-4.859231968330782,-4.555436548022737
calg,0.021,8.181493287563735e-05,0.0109070614935455,0.0683847307288412,0.1265709470191223,3.815092839772744e-05,0.0050860459547504,0.0318883204553115,0.059021007162334334,-0.00024975934883929296,0.0130417941188395,-5.098444416923541,-4.781518514080026
calg,0.0212,8.399677091548707e-05,0.0109092011655078,0.0107666737872565,0.07867708563517642,3.916833611498916e-05,0.0050870437002168,0.0050205873985779,0.036687739946399886,-0.00024736380453059537,0.0119777666470722,-5.320154636597505,-4.99084829912435
calg,0.0214,8.617690445023028e-05,0.0109006787789467,-0.0425470339697133,0.03211955438574012,4.018494900882158e-05,0.0050830696478873,-0.0198399942044655,0.014977613663660986,-0.00024518920656609045,0.0108730354961888,-5.523671893395186,-5.178957483411957
calg,0.0216,8.835338933413373e-05,0.0108824356682045,-0.0911538384820577,-0.01652186492051328,4.119986050962753e-05,0.0050745627492524,-0.0425057103834104,-0.0077042469537385045,-0.00024324294201739927,0.0097313690126817,-5.708347493354649,-5.330498581081864
calg,0.0218,9.052448133275992e-05,0.0108554713921184,-0.1347625923165201,-0.06569920578713463,4.221225726759592e-05,0.0050619891063135,-0.0628407969418442,-0.030636013203814625,-0.0002415316201525991,0.0085566562065571,-5.873578127436533,-5.4463928478876165
calg,0.022,9.268864359310292e-05,0.0108208228553745,-0.1731865459206016,-0.11396751951323512,4.32214226372199e-05,0.0050458322357086,-0.0807581712240809,-0.05314389436082814,-0.00024006105026309899,0.0073528969648786,-6.018809417098112,-5.527644802887035
calg,0.0222,9.4844550275322e-05,0.0107795451233638,-0.2063348799967915,-0.16000905043442523,4.422673836946417e-05,0.0050265841225311,-0.0962154835954025,-0.07461341077948264,-0.00023883622158998863,0.0061241915336151,-6.143539572825304,-5.5753316503277315
calg,0.0224,9.699108673015544e-05,0.0107326941491873,-0.2342031445203391,-0.2026517242813807,4.522768469516353e-05,0.0050047371657987,-0.1092106590809342,-0.09449801516193332,-0.00023786128550479235,0.0048747292621585,-6.247323080887852,-5.590594096998909
calg,0.0226,9.912734663429512e-05,0.0106813115616998,-0.2568629532280917,-0.24088218643255366,4.6223838989264965e-05,0.0049807770850008,-0.1197770918254191,-0.11232517239824588,-0.00023713954008379445,0.0036087766214058,-6.3297743356428535,-5.574628471904952
calg,0.0228,0.000101252626512,0.0106264115984044,-0.2744512589744947,-0.2738537247798914,4.721487321597551e-05,0.0049551768268062,-0.1279786441079611,-0.12770005406224247,-0.00023667341722169444,0.0023306645217183,-6.390571140304115,-5.528680034593712
calg,0.023,0.0001033664180772,0.0105689702075275,-0.2871595074030756,-0.30088949047989905,4.820055035791721e-05,0.0049283914832776,-0.1339045886142324,-0.14030704027477117,-0.00023646447241089386,0.0010447749713677,-6.429458004675427,-5.454037343423548
calg,0.0232,0.0001054683988239,0.0105099162904901,-0.2952229345172455,-0.32148148950645133,4.9180720028546565e-05,0.0049008542081679,-0.1376646178102743,-0.1499092494589391,-0.0002365133773115924,-0.0002444728710946,-6.4462491757106415,-5.352027545209429
calg,0.0234,0.0001075575416357,0.0104457267986093,-0.3209002431014093,-0.3352858595400193,5.01549032755344e-05,0.0048709221754254,-0.1496381420588099,-0.15634633591875285,-0.00023681670134668986,-0.0015165677890332,-6.3604845042837495,-5.22401244260956
calg,0.0235999999999999,0.000109629721098,0.0103609102745842,-0.4240306087918602,-0.3421149714871554,5.112117638543523e-05,0.0048313715943026,-0.1977286474494289,-0.1595308067180811,-0.00023735773228079904,-0.0027051013691918,-5.942678382803571,-5.071385194905477
calg,0.0238,0.0001116819401481,0.0102611084675738,-0.4989526595069872,-0.3419269042929393,5.207814180393372e-05,0.0047848332560439,-0.2326653975123675,-0.1594431137055151,-0.00023812010235989278,-0.0038117960461903,-5.533484434699625,-4.895567510861594
calg,0.024,0.0001137122956532,0.0101517910260059,-0.5465268957886256,-0.3348128372739544,5.302491208494104e-05,0.0047338577000567,-0.2548496499823442,-0.15612577446271167,-0.00023908781998138728,-0.0048385326002881,-5.133694388775075,-4.6980071987035625
calg,0.0242,0.000115719921627,0.0100381436714106,-0.5681729290067484,-0.3209828877183571,5.396108341114425e-05,0.0046808630684942,-0.2649433803514755,-0.14967676826850984,-0.0002402452937439875,-0.005787312061262,-4.743909497286932,-4.480175947340846
calg,0.0244,0.0001177049140188,0.0099249760808979,-0.565770941099615,-0.3007508947990741,5.488670052454514e-05,0.0046280921511309,-0.2638233317845377,-0.14024244072044173,-0.00024157735001779923,-0.0066602233089354,-4.36456901826662,-4.243567224198322
