case_id,resolution,curvature_a,apex_x0,apex_y0,expected_gap,calg_gap,linear_gap,calg_error,linear_error,calg_elapsed_s,linear_elapsed_s,calg_candidate_pairs,linear_candidate_pairs,calg_contacts,linear_contacts,calg_better,error_ratio_linear_over_calg,notes
33,12,0.9987635407473405,-0.03837255310745695,0.041659191126253166,0.06478714956617249,0.06478714956617249,0.06799112411507326,0.0,0.0032039745489007704,2.920000952144619e-07,0.00032323499999620253,1,288,1,1,True,320397454890.077,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
34,8,0.590666458555126,-0.00996010756759978,0.012571426424904457,0.057202748565537136,0.057202748565537136,0.05735469426635614,0.0,0.00015194570081900755,3.8600001062150113e-07,0.00020263400006115262,1,128,1,1,True,15194570081.900755,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
35,7,0.872464427776507,0.04535391973940243,0.06689097425727838,0.07025340544450953,0.07025340544450953,0.0803280395266276,0.0,0.010074634082118075,3.190000370523194e-07,0.0001556130000608391,1,98,1,1,True,1007463408211.8075,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
36,7,0.9525664620186307,-0.028970406510908243,-0.09205406145476815,0.0531957042031767,0.0531957042031767,0.0653680836915451,0.0,0.012172379488368405,2.3000006876827683e-07,0.00015081800006555568,1,98,1,1,True,1217237948836.8406,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
37,3,0.9510076260534293,0.15840130979986855,-0.16298178587871587,0.05155000593685856,0.05155000593685856,0.07339550488196599,0.0,0.021845498945107428,3.000000106112566e-07,8.632699996269366e-05,1,18,1,1,True,2184549894510.7427,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
38,5,1.1103685688081704,-0.10139763845674059,0.0033299485686812485,0.041849369810294905,0.041849369810294905,0.0753453059119629,0.0,0.03349593610166799,3.6799997360503767e-07,0.00012625900012608327,1,50,1,1,True,3349593610166.799,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
39,7,1.183393834899538,-0.07041150929333892,-0.006546295200515631,0.03676947595950091,0.03676947595950091,0.04726633180326141,0.0,0.010496855843760498,3.190000370523194e-07,0.0001857770000697201,1,98,1,1,True,1049685584376.0498,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
40,8,0.6847840457887802,-0.06667349006884608,-0.01429807839473948,0.06356605872379173,0.06356605872379173,0.06675016026896968,0.0,0.003184101545177953,3.909999577444978e-07,0.00020334700002422323,1,128,1,1,True,318410154517.7953,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
41,12,1.1135349674738304,-0.024860333250545097,-0.028675124436853473,0.06564968096179728,0.06564968096179728,0.06725350418485511,0.0,0.0016038232230578264,4.3599993659881875e-07,0.0002544339999985823,1,288,1,1,True,160382322305.78265,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
42,8,0.6017352105573835,0.0397285541404143,0.07875258899406005,0.041363344657271206,0.041363344657271206,0.04604504213746844,0.0,0.004681697480197235,3.039999683096539e-07,0.00013036799987276027,1,128,1,1,True,468169748019.72345,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
43,6,0.5847682480321771,0.0016928991807370322,-0.09404811138903842,0.04377849006323927,0.04377849006323927,0.04895246874258895,0.0,0.005173978679349676,1.7399997886968777e-07,0.00011038900015591935,1,72,1,1,True,517397867934.96765,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
44,10,0.5792583547724723,0.01655966959402932,-0.07093002097504948,0.0530811890459372,0.0530811890459372,0.056154322911432,0.0,0.0030731338654947996,1.9300000531075057e-07,0.0001428969999324181,1,200,1,1,True,307313386549.48,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
45,6,1.1267922284656977,0.10893153718353056,-0.03540813280019802,0.07216497233458516,0.07216497233458516,0.0869482786609373,0.0,0.014783306326352136,2.040001163550187e-07,0.00013483900011124206,1,72,1,1,True,1478330632635.2136,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
46,5,0.9238786708805162,-0.04066717353908845,-0.10462118851395186,0.038456892491052566,0.038456892491052566,0.06154881140165503,0.0,0.023091918910602464,6.240002221602481e-07,8.569099986743822e-05,1,50,1,1,True,2309191891060.2466,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
