method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.0112,-4.29663331349972e-06,0.0052918466510959,2.534516771739122,-2.003553018353754e-06,0.0024676286191879,1.1818645803842371,-0.00037690223877889784,-0.0114210782671749,8.92422144422612,-0.0001772947789387,44.1872712863368
CALG,0.0114,-3.132358103563604e-06,0.0058213780667232,2.3882336975312404,-1.460642571761428e-06,0.0027145531735285,1.1136516626226456,-0.0003788325802162873,-0.0096516988840872,8.705971329760905,-0.0001792250547065,43.421909007164814
CALG,0.0116,-1.8724855928714532e-06,0.0062993645954317,2.2219255358162573,-8.731543717152568e-07,0.0029374419523602,1.0361008932012694,-0.0003804206724421916,-0.0079404527225632,8.49123027504185,-0.0001808130990607,42.62099335285226
CALG,0.0118,-5.27490127313901e-07,0.0067249794149296,2.0413182620690695,-2.459726859346812e-07,0.0031359094021164,0.9518823383344598,-0.00038167865759079767,-0.0062899171512598,8.279284415380758,-0.0001820710597031,41.78951178885227
CALG,0.012,8.922092806229465e-07,0.0070984991918187,1.8518281874500808,4.1604402024192366e-07,0.0033100845345521,0.8635216653952643,-0.0003826191635762921,-0.0047025210667402,8.069425178934878,-0.0001830115696194,40.93232791247839
CALG,0.0122,2.37644301684381e-06,0.0074211709191327,1.6584722714953588,1.1081535779416951e-06,0.0034605488320687,0.7733583210360031,-0.00038325526911608954,-0.0031805184864112,7.860971290584088,-0.0001836477119894,40.05415597129056
CALG,0.0124,3.915457099615272e-06,0.0076950727577324,1.4657979949900457,1.8258076307439697e-06,0.0035882713569905,0.6835128303721014,-0.00038360046366679723,-0.0017259631044124,7.6532862417328245,-0.0001839929800515,39.15954161592197
CALG,0.0126,5.500051156015484e-06,0.007922972752041,1.277832131182881,2.5647159742903103e-06,0.0036945428696301,0.5958629086071014,-0.0003836686026233993,-0.0003406846137686,7.445791463328856,-0.0001840612322721,38.25284784880983
CALG,0.0128,7.121688408592841e-06,0.0081081888789624,1.0980473961473438,3.320897843918369e-06,0.0037809105680273,0.5120279098406638,-0.00038347385826999203,0.0009737325362905,7.237975511528644,-0.0001838666433025,37.338245093774894
CALG,0.013,8.769337358049967e-06,0.0082382475414597,0.9293456669474093,4.089209166995012e-06,0.0038415579183592,0.4333610015707438,-0.00038301871129770015,0.0022757463632249,7.0293996314562905,-0.0001834116951024,37.04730328893373
CALG,0.0132,1.0432397330867316e-05,0.008315302871231,0.7740562284099338,4.8647067683108e-06,0.0038774894087333,0.36094834715012897,-0.0003823026896346976,0.0035801206936718,6.819700105037085,-0.0001826959158746,36.929546597517806
CALG,0.0134,1.210204293952688e-05,0.0083482312959168,0.6339473434747109,5.643275302030792e-06,0.0038928441853352,0.29561450112927706,-0.0003813266060605919,0.004880431260032,6.60858781479909,-0.0001817201179474,36.76472410170194
CALG,0.0136,1.3771214922353447e-05,0.0083458634415072,0.5102493348462235,6.421622980402886e-06,0.0038917400366906,0.23793317240729048,-0.00038009255346328763,0.0061702775075808,6.395845467972898,-0.0001804863932375,36.55243599898052
