method,time,ux_m,vx_m_s,ax_m_s2,uy_m,vy_m_s,ay_m_s2,uz_m,vz_m_s,az_m_s2,gap_m,contact_force_N
calg,0.2498,0.012887229183724,0.0979692048278265,0.303569915289536,0.0060094136607678,0.0456837904745689,0.14155697628500313,0.0009633041059508018,0.0195082749863554,0.21347901156816143,-0.0001091811385508,22.63049106514561
calg,0.25,0.0129068348649977,0.0980298956588257,0.30334184378307033,0.0060185559400889,0.0457120910738436,0.14145062479493223,0.0009672132770241065,0.0195510942287988,0.21374176771495407,-0.0001091768729635,22.630957433051947
calg,0.2502,0.0129264526748777,0.0980905409900278,0.3031135523821492,0.0060277038750723,0.0457403704562145,0.14134417076639255,0.0009711310217131036,0.0195939692066273,0.21400446223056763,-0.0001091725863618,22.63142150463966
calg,0.2504,0.0129460826042553,0.0981511407787613,0.3028850408427185,0.0060368574614701,0.0457686286017835,0.14123761408558014,0.0009750573511203009,0.0196368996976858,0.21426709207933803,-0.0001091682780921,22.6318831456613
calg,0.2506,0.0129657246440131,0.098211694981793,0.30265630891378137,0.0060460166950309,0.0457968654903906,0.14113095463545303,0.0009789922763012021,0.0196798854687953,0.21452965435707624,-0.0001091639475438,22.632342230695045
calg,0.2508,0.0129853787850248,0.0982722035553255,0.3024273563385645,0.0060551815714991,0.0458250811016129,0.14102419229627566,0.0009829358082632106,0.0197229262765758,0.21479214629902152,-0.0001091595941511,22.632798643569583
calg,0.251,0.0130050450181554,0.0983326664549998,0.30219818285521965,0.0060643520866149,0.0458532754147653,0.14091732694594647,0.0009868879579626039,0.0197660218683008,0.21505456528806005,-0.0001091552173951,22.63325227774385
calg,0.2512,0.0130247233342608,0.0983930836358928,0.30196878819782663,0.0060735282361145,0.0458814484088998,0.14081035846046452,0.0009908487363039092,0.0198091719827942,0.21531690886197907,-0.0001091508168057,22.633703036770005
calg,0.2514,0.0130444137241879,0.0984534550525238,0.30173917209734774,0.0060827100157295,0.0459096000628085,0.14070328671437557,0.000994818154137711,0.0198523763513457,0.21557917472025295,-0.0001091463919629,22.634150834521968
calg,0.2516,0.0130641161787743,0.0985137806588607,0.3015093342827198,0.0060918974211876,0.0459377303550262,0.14059611158128127,0.0009987962222593044,0.0198956346986562,0.21584136073001814,-0.0001091419424983,22.634595595538453
calg,0.2518,0.0130838306888484,0.0985740604083199,0.30127927448169717,0.006101090448212,0.0459658392638308,0.14048883293423103,0.0010027829514081127,0.0199389467438176,0.21610346493184104,-0.0001091374680972,22.6350372553906
calg,0.252,0.013103557245229,0.0986342942537799,0.3010489924219002,0.0061102890925213,0.0459939267672489,0.1403814506462124,0.0010067783522662993,0.0199823122012952,0.216365485544601,-0.0001091329684982,22.635475760750747
calg,0.2522,0.0131232958387256,0.0986944821475921,0.3008184878317584,0.0061194933498299,0.0460219928430617,0.1402739645905891,0.0010107824354585043,0.0200257307819297,0.2166274209698181,-0.000109128443495,22.63591106960466
calg,0.2524,0.0131430464601379,0.0987546240415915,0.3005877604415569,0.0061287032158477,0.0460500374688096,0.14016637464159157,0.0010147952115506093,0.0200692021939566,0.21688926979521353,-0.0001091238929368,22.63634315145313
calg,0.2526,0.0131628091002558,0.0988147198871089,0.3003568099843506,0.0061379186862801,0.0460780606217977,0.14005868067474175,0.0010188166910498064,0.020112726144033,0.21715103079777145,-0.0001091193167288,22.636771987390883
calg,0.2528,0.0131825837498596,0.0988747696349857,0.30012563619699667,0.0061471397568277,0.0461060622791029,0.13995088256733365,0.0010228468844051125,0.0201563023382686,0.21741270294592027,-0.0001091147148326,22.63719757016649
